City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,coracora,-15.0333,-73.7833,52,95,100,10.51,PE,2023-02-04 20:58:51
73,chapais,49.7834,-74.8492,-7,95,100,8.7,CA,2023-02-04 20:58:52
74,saint-philippe,-21.3585,55.7679,78,86,99,10.16,RE,2023-02-04 20:58:52
75,lorengau,-2.0226,147.2712,81,73,100,4.23,PG,2023-02-04 20:58:54
76,te anau,-45.4167,167.7167,64,98,100,3.27,NZ,2023-02-04 20:58:56
77,chokurdakh,70.6333,147.9167,-26,98,67,7.81,RU,2023-02-04 20:57:53
78,palmer,42.1584,-72.3287,15,24,75,3.44,US,2023-02-04 20:58:59
79,santiago del estero,-27.7951,-64.2615,87,33,100,4.65,AR,2023-02-04 20:59:00
80,lompoc,34.6391,-120.4579,71,71,0,9.22,US,2023-02-04 20:58:29
81,bani,18.2833,-70.3333,85,58,5,12.21,DO,2023-02-04 20:59:01
82,margate,51.3813,1.3862,46,75,100,1.99,GB,2023-02-04 20:59:01
83,mehamn,71.0357,27.8492,28,80,100,5.75,NO,2023-02-04 20:59:02
84,mapiripan,2.8892,-72.1256,92,35,85,8.84,CO,2023-02-04 20:59:03
85,taoudenni,22.6783,-3.9836,61,33,100,11.97,ML,2023-02-04 20:59:11
86,airai,-8.9266,125.4092,60,91,99,2.51,TL,2023-02-04 20:59:16
87,mingguang,32.7802,117.9638,36,72,18,6.62,CN,2023-02-04 20:59:19
88,kempten,47.7267,10.3139,35,98,100,1.9,DE,2023-02-04 20:56:44
89,nome,64.5011,-165.4064,10,85,100,8.05,US,2023-02-04 20:59:24
90,nuuk,64.1835,-51.7216,-3,82,100,15.61,GL,2023-02-04 20:58:25
91,nelson bay,-32.7167,152.15,68,64,0,8.01,AU,2023-02-04 20:59:30
92,haines junction,60.7522,-137.5108,12,79,100,3.44,CA,2023-02-04 20:59:31
93,padang,-0.9492,100.3543,76,85,100,3.11,ID,2023-02-04 20:59:33
94,la fleche,47.6982,-0.0755,48,70,100,6.96,FR,2023-02-04 20:59:34
